id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1545938039058604032,1545937935606116352,2022-07-10 09:08:45 WITA,2022-07-10,09:08:45,+0800,80323736,ridwankamil,Ridwan Kamil,,Semoga Qurban dan segala pengorbanan kita semua ini diterima Allah SWT sebagai pahala yang menyelamatkan kita di akhir waktu kelak.  Kami haturkan mohon maaf lahir dan bathin juga.  Hatur nuhun.  https://t.co/BF9obneb2P,in,[],[],[],10,29,481,[],[],https://twitter.com/ridwankamil/status/1545938039058604032,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1545937940370829312/pu/img/F4hxBPrML-5lpLsA.jpg,,,,,,,[],,,,
1545937935606116352,1545937935606116352,2022-07-10 09:08:20 WITA,2022-07-10,09:08:20,+0800,80323736,ridwankamil,Ridwan Kamil,,"Alhamdulillah, semua proses badal haji atau menghajikan atas nama Eril sudah kami tunaikan. Dari niat sampai proses wajib rukun dan sunnahnya.  Semoga menjadi Haji Mabrur.  SELAMAT IDUL ADHA 1443 H, juga kami haturkan kepada umat Islam yang merayakan. Mohon maaf lahir batin.  https://t.co/cnk7kA0XQy",in,[],[],[],31,73,1091,[],[],https://twitter.com/ridwankamil/status/1545937935606116352,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1545937828747816960/pu/img/blTqbsiS5nkQ1MnB.jpg,,,,,,,[],,,,
1545371884703072256,1545371884703072256,2022-07-08 19:39:03 WITA,2022-07-08,19:39:03,+0800,80323736,ridwankamil,Ridwan Kamil,,"Suasana Indonesia di Tanah Suci.  Ketika mengecek kondisi para jamaah, ternyata serasa di kampung sendiri, saat di Mekkah berjumpa dengan yang dirindukan melebihi ke istri sendiri yaitu the one and only: BALA-BALA.   #JabarJuara #IndonesiaJuara  https://t.co/i9veC88CjL",in,[],[],[],94,148,2207,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1545371884703072256,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1545371586471276544/pu/img/H6Ng07K_D6LOXiN7.jpg,,,,,,,[],,,,
1544966777628925952,1544966764001640449,2022-07-07 16:49:18 WITA,2022-07-07,16:49:18,+0800,80323736,ridwankamil,Ridwan Kamil,,"Insya Allah, pulang ke tanah air tetap dengan predikat Hajjah yang menyempurnakan rukun islam ke-5 nya.  Bersyukurlah saat mendapat keberkahan. Bersabarlah sat mendapat kemusibahan. Berikhtiarlah saat kita mengejar tujuan Berdoalah saat kita meminta perlindungan.  https://t.co/5S37TPnuo6",in,[],[],['https://pbs.twimg.com/media/FXDTF6EaQAAgt6x.jpg'],9,23,581,[],[],https://twitter.com/ridwankamil/status/1544966777628925952,False,,1,https://pbs.twimg.com/media/FXDTF6EaQAAgt6x.jpg,,,,,,,[],,,,
1544966767956869120,1544966764001640449,2022-07-07 16:49:16 WITA,2022-07-07,16:49:16,+0800,80323736,ridwankamil,Ridwan Kamil,,"Untungnya, Islam memberikan kemudahan atau rukhsah kepada mereka yang berhalangan. Tim Haji Jawa Barat sudah mengantisipasi hal-hal ini, dengan menyiapkan personel pengganti Ibu Winingsih dengan syariat yang disebut Badal Haji atau dihajikan.",in,[],[],[],4,10,368,[],[],https://twitter.com/ridwankamil/status/1544966767956869120,False,,0,,,,,,,,[],,,,
1544966764001640449,1544966764001640449,2022-07-07 16:49:15 WITA,2022-07-07,16:49:15,+0800,80323736,ridwankamil,Ridwan Kamil,,"Menyemangati Ibu Winingsih, salah satu jemaah Haji asal Subang Jawa Barat yg sedang mendapat ujian. Saya jenguk &amp; semangati semalam.   Beliau sakit terkena stroke saat di tanah suci yg membuatnya tidak mampu bergerak sehingga tidak bisa melaksanakan lanjutan ritual ibadah haji.  https://t.co/exIEit1FVr",in,[],[],[],48,145,2132,[],[],https://twitter.com/ridwankamil/status/1544966764001640449,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1544966702899015682/pu/img/kcfsL0EL6PcrgnTE.jpg,,,,,,,[],,,,
1544532894215176193,1544532691479330816,2022-07-06 12:05:12 WITA,2022-07-06,12:05:12,+0800,80323736,ridwankamil,Ridwan Kamil,,"Memahami betapa susahnya mendapatkan kesempatan berhaji walau usia, dana dan raga sangat siap, oleh karena itu saya doakan agar semua yang berniat, Allah mudahkan dan kabulkan cita-citanya berhaji di tanah suci secepatnya.  Aamiin.",in,[],[],[],32,39,514,[],[],https://twitter.com/ridwankamil/status/1544532894215176193,False,,0,,,,,,,,[],,,,
1544532890561970176,1544532691479330816,2022-07-06 12:05:11 WITA,2022-07-06,12:05:11,+0800,80323736,ridwankamil,Ridwan Kamil,,"Kemarin inspeksi, menyapa, menyemangati dan mendoakan para jamaah Haji agar semua tetap sehat, fokus pada ibadah, sehingga pergi pulang selamat dengan gelar Haji Mabrur.  https://t.co/typlm4MWjF",in,[],[],[],11,18,533,[],[],https://twitter.com/ridwankamil/status/1544532890561970176,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1544532703563100160/pu/img/xa098nvf_uj_EjmT.jpg,,,,,,,[],,,,
1544532694893469696,1544532691479330816,2022-07-06 12:04:25 WITA,2022-07-06,12:04:25,+0800,80323736,ridwankamil,Ridwan Kamil,,"2. Sistem organisasi yang lengkap, sehingga setiap masalah sekecil apapun ada tim khusus yang menangani.  3. Dapur/catering makanan khas Indonesia 3 kali sehari agar Jamaah merasa betah.  4. Kamar nyaman dan bersih untuk ber-3 atau ber-4.",in,[],[],[],1,13,174,[],[],https://twitter.com/ridwankamil/status/1544532694893469696,False,,0,,,,,,,,[],,,,
1544532691479330816,1544532691479330816,2022-07-06 12:04:24 WITA,2022-07-06,12:04:24,+0800,80323736,ridwankamil,Ridwan Kamil,,Aman nyaman terkendali.  Sistem pelayanan untuk jemaah Haji khususnya Jawa Barat sangat dimaksimalkan.  1. Ada klinik kesehatan di setiap hotel per sektor. Sehingga jemaah tidak usah gedor-gedor kamar dokter.  https://t.co/Kw1hSoQzXQ,in,[],[],[],46,110,1445,[],[],https://twitter.com/ridwankamil/status/1544532691479330816,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1544532523472285696/pu/img/VrYG2pIwHaD0qCXx.jpg,,,,,,,[],,,,
